wave length[nm],specCF
639.628483,9.01349E-10
639.9380805,9.00477E-10
640.247678,8.99607E-10
640.5572755,8.98737E-10
640.8668731,8.97869E-10
641.1764706,8.97002E-10
641.4860681,8.96137E-10
641.7956656,8.95272E-10
642.1052632,8.94409E-10
642.4148607,8.93547E-10
642.7244582,8.92687E-10
643.0340557,8.91827E-10
643.3436533,8.90969E-10
643.6532508,8.90112E-10
643.9628483,8.89257E-10
644.2724458,8.88402E-10
644.5820433,8.87549E-10
644.8916409,8.86697E-10
645.2012384,8.85846E-10
645.5108359,8.84997E-10
645.8204334,8.84148E-10
646.130031,8.83301E-10
646.4396285,8.82455E-10
646.749226,8.81611E-10
647.0588235,8.80767E-10
647.3684211,8.79925E-10
647.6780186,8.79084E-10
647.9876161,8.78244E-10
648.2972136,8.77406E-10
648.6068111,8.76568E-10
648.9164087,8.75732E-10
649.2260062,8.74897E-10
649.5356037,8.74063E-10
649.8452012,8.7323E-10
650.1547988,8.72399E-10
650.4643963,8.71569E-10
650.7739938,8.7074E-10
651.0835913,8.69912E-10
651.3931889,8.69085E-10
651.7027864,8.6826E-10
652.0123839,8.67435E-10
652.3219814,8.66612E-10
652.6315789,8.6579E-10
652.9411765,8.64969E-10
653.250774,8.64149E-10
653.5603715,8.63331E-10
653.869969,8.62514E-10
654.1795666,8.61697E-10
654.4891641,8.60882E-10
654.7987616,8.60068E-10
655.1083591,8.59256E-10
655.4179567,8.58444E-10
655.7275542,8.57634E-10
656.0371517,8.56824E-10
656.3467492,8.56016E-10
656.6563467,8.55209E-10
656.9659443,8.54403E-10
657.2755418,8.53599E-10
657.5851393,8.52795E-10
657.8947368,8.51993E-10
658.2043344,8.51191E-10
658.5139319,8.50391E-10
658.8235294,8.49592E-10
659.1331269,8.48794E-10
659.4427245,8.47997E-10
659.752322,8.47202E-10
660.0619195,8.46407E-10
660.371517,8.45614E-10
660.6811146,8.44821E-10
660.9907121,8.4403E-10
661.3003096,8.4324E-10
661.6099071,8.42451E-10
661.9195046,8.41663E-10
662.2291022,8.40876E-10
662.5386997,8.40091E-10
662.8482972,8.39306E-10
663.1578947,8.38523E-10
663.4674923,8.3774E-10
663.7770898,8.36959E-10
664.0866873,8.36179E-10
664.3962848,8.354E-10
664.7058824,8.34622E-10
665.0154799,8.33845E-10
665.3250774,8.33069E-10
665.6346749,8.32294E-10
665.9442724,8.3152E-10
666.25387,8.30748E-10
666.5634675,8.29976E-10
666.873065,8.29206E-10
667.1826625,8.28436E-10
667.4922601,8.27668E-10
667.8018576,8.26901E-10
668.1114551,8.26135E-10
668.4210526,8.2537E-10
668.7306502,8.24606E-10
669.0402477,8.23843E-10
669.3498452,8.23081E-10
669.6594427,8.2232E-10
669.9690402,8.2156E-10
670.2786378,8.20801E-10
670.5882353,8.20043E-10
670.8978328,8.19287E-10
671.2074303,8.18531E-10
671.5170279,8.17777E-10
671.8266254,8.17023E-10
672.1362229,8.1627E-10
672.4458204,8.15519E-10
672.755418,8.14769E-10
673.0650155,8.14019E-10
673.374613,8.13271E-10
673.6842105,8.12524E-10
673.993808,8.11777E-10
674.3034056,8.11032E-10
674.6130031,8.10288E-10
674.9226006,8.09545E-10
675.2321981,8.08802E-10
675.5417957,8.08061E-10
675.8513932,8.07321E-10
676.1609907,8.06582E-10
676.4705882,8.05844E-10
676.7801858,8.05107E-10
677.0897833,8.04371E-10
677.3993808,8.03635E-10
677.7089783,8.02901E-10
678.0185759,8.02168E-10
678.3281734,8.01436E-10
678.6377709,8.00705E-10
678.9473684,7.99975E-10
679.2569659,7.99246E-10
679.5665635,7.98518E-10
679.876161,7.97791E-10
680.1857585,7.97065E-10
680.495356,7.9634E-10
680.8049536,7.95616E-10
681.1145511,7.94892E-10
681.4241486,7.9417E-10
681.7337461,7.93449E-10
682.0433437,7.92729E-10
682.3529412,7.9201E-10
682.6625387,7.91292E-10
682.9721362,7.90574E-10
683.2817337,7.89858E-10
683.5913313,7.89143E-10
683.9009288,7.88428E-10
684.2105263,7.87715E-10
684.5201238,7.87003E-10
684.8297214,7.86291E-10
685.1393189,7.85581E-10
685.4489164,7.84871E-10
685.7585139,7.84163E-10
686.0681115,7.83455E-10
686.377709,7.82749E-10
686.6873065,7.82043E-10
686.996904,7.81338E-10
687.3065015,7.80635E-10
687.6160991,7.79932E-10
687.9256966,7.7923E-10
688.2352941,7.78529E-10
688.5448916,7.77829E-10
688.8544892,7.7713E-10
689.1640867,7.76432E-10
689.4736842,7.75735E-10
689.7832817,7.75039E-10
690.0928793,7.74343E-10
690.4024768,7.73649E-10
690.7120743,7.72956E-10
691.0216718,7.72263E-10
691.3312693,7.71572E-10
691.6408669,7.70881E-10
691.9504644,7.70191E-10
692.2600619,7.69503E-10
692.5696594,7.68815E-10
692.879257,7.68128E-10
693.1888545,7.67442E-10
693.498452,7.66757E-10
693.8080495,7.66073E-10
694.1176471,7.6539E-10
694.4272446,7.64707E-10
694.7368421,7.64026E-10
695.0464396,7.63345E-10
695.3560372,7.62666E-10
695.6656347,7.61987E-10
695.9752322,7.61309E-10
696.2848297,7.60632E-10
696.5944272,7.59956E-10
696.9040248,7.59281E-10
697.2136223,7.58607E-10
697.5232198,7.57934E-10
697.8328173,7.57262E-10
698.1424149,7.5659E-10
698.4520124,7.5592E-10
698.7616099,7.5525E-10
699.0712074,7.54581E-10
699.380805,7.53913E-10
699.6904025,7.53246E-10
700,7.5258E-10
700.3095975,7.51915E-10
700.619195,7.5125E-10
700.9287926,7.50587E-10
701.2383901,7.49924E-10
701.5479876,7.49262E-10
701.8575851,7.48602E-10
702.1671827,7.47942E-10
702.4767802,7.47282E-10
702.7863777,7.46624E-10
703.0959752,7.45967E-10
703.4055728,7.4531E-10
703.7151703,7.44655E-10
704.0247678,7.44E-10
704.3343653,7.43346E-10
704.6439628,7.42693E-10
704.9535604,7.42041E-10
705.2631579,7.41389E-10
705.5727554,7.40739E-10
705.8823529,7.40089E-10
706.1919505,7.3944E-10
706.501548,7.38792E-10
706.8111455,7.38145E-10
707.120743,7.37499E-10
707.4303406,7.36854E-10
707.7399381,7.36209E-10
708.0495356,7.35566E-10
708.3591331,7.34923E-10
708.6687307,7.34281E-10
708.9783282,7.3364E-10
709.2879257,7.32999E-10
709.5975232,7.3236E-10
709.9071207,7.31721E-10
710.2167183,7.31083E-10
710.5263158,7.30446E-10
710.8359133,7.2981E-10
711.1455108,7.29175E-10
711.4551084,7.2854E-10
711.7647059,7.27907E-10
712.0743034,7.27274E-10
712.3839009,7.26642E-10
712.6934985,7.26011E-10
713.003096,7.2538E-10
713.3126935,7.24751E-10
713.622291,7.24122E-10
713.9318885,7.23494E-10
714.2414861,7.22867E-10
714.5510836,7.22241E-10
714.8606811,7.21616E-10
715.1702786,7.20991E-10
715.4798762,7.20367E-10
715.7894737,7.19744E-10
716.0990712,7.19122E-10
716.4086687,7.185E-10
716.7182663,7.1788E-10
717.0278638,7.1726E-10
717.3374613,7.16641E-10
717.6470588,7.16023E-10
717.9566563,7.15405E-10
718.2662539,7.14789E-10
718.5758514,7.14173E-10
718.8854489,7.13558E-10
719.1950464,7.12944E-10
719.504644,7.1233E-10
719.8142415,7.11718E-10
720.123839,7.11106E-10
720.4334365,7.10495E-10
720.7430341,7.09885E-10
721.0526316,7.09275E-10
721.3622291,7.08666E-10
721.6718266,7.08059E-10
721.9814241,7.07451E-10
722.2910217,7.06845E-10
722.6006192,7.0624E-10
722.9102167,7.05635E-10
723.2198142,7.05031E-10
723.5294118,7.04428E-10
723.8390093,7.03825E-10
724.1486068,7.03223E-10
724.4582043,7.02622E-10
724.7678019,7.02022E-10
725.0773994,7.01423E-10
725.3869969,7.00824E-10
725.6965944,7.00226E-10
726.006192,6.99629E-10
726.3157895,6.99033E-10
726.625387,6.98438E-10
726.9349845,6.97843E-10
727.244582,6.97249E-10
727.5541796,6.96655E-10
727.8637771,6.96063E-10
728.1733746,6.95471E-10
728.4829721,6.9488E-10
728.7925697,6.9429E-10
729.1021672,6.937E-10
729.4117647,6.93112E-10
729.7213622,6.92524E-10
730.0309598,6.91936E-10
730.3405573,6.9135E-10
730.6501548,6.90764E-10
730.9597523,6.90179E-10
731.2693498,6.89595E-10
731.5789474,6.89011E-10
731.8885449,6.88428E-10
732.1981424,6.87846E-10
732.5077399,6.87265E-10
732.8173375,6.86684E-10
733.126935,6.86105E-10
733.4365325,6.85526E-10
733.74613,6.84947E-10
734.0557276,6.84369E-10
734.3653251,6.83793E-10
734.6749226,6.83216E-10
734.9845201,6.82641E-10
735.2941176,6.82066E-10
735.6037152,6.81492E-10
735.9133127,6.80919E-10
736.2229102,6.80346E-10
736.5325077,6.79774E-10
736.8421053,6.79203E-10
737.1517028,6.78633E-10
737.4613003,6.78063E-10
737.7708978,6.77494E-10
738.0804954,6.76926E-10
738.3900929,6.76359E-10
738.6996904,6.75792E-10
739.0092879,6.75226E-10
739.3188854,6.7466E-10
739.628483,6.74096E-10
739.9380805,6.73532E-10
740.247678,6.72968E-10
740.5572755,6.72406E-10
740.8668731,6.71844E-10
741.1764706,6.71283E-10
741.4860681,6.70722E-10
741.7956656,6.70162E-10
742.1052632,6.69603E-10
742.4148607,6.69045E-10
742.7244582,6.68487E-10
743.0340557,6.6793E-10
743.3436533,6.67374E-10
743.6532508,6.66819E-10
743.9628483,6.66264E-10
744.2724458,6.6571E-10
744.5820433,6.65156E-10
744.8916409,6.64603E-10
745.2012384,6.64051E-10
745.5108359,6.635E-10
745.8204334,6.62949E-10
746.130031,6.62399E-10
746.4396285,6.6185E-10
746.749226,6.61301E-10
747.0588235,6.60753E-10
747.3684211,6.60206E-10
747.6780186,6.59659E-10
747.9876161,6.59113E-10
748.2972136,6.58568E-10
748.6068111,6.58023E-10
748.9164087,6.57479E-10
749.2260062,6.56936E-10
749.5356037,6.56393E-10
749.8452012,6.55851E-10
750.1547988,6.5531E-10
750.4643963,6.5477E-10
750.7739938,6.5423E-10
751.0835913,6.5369E-10
751.3931889,6.53152E-10
751.7027864,6.52614E-10
752.0123839,6.52077E-10
752.3219814,6.5154E-10
752.6315789,6.51004E-10
752.9411765,6.50469E-10
753.250774,6.49934E-10
753.5603715,6.494E-10
753.869969,6.48867E-10
754.1795666,6.48335E-10
754.4891641,6.47803E-10
754.7987616,6.47271E-10
755.1083591,6.46741E-10
755.4179567,6.46211E-10
755.7275542,6.45681E-10
756.0371517,6.45153E-10
756.3467492,6.44625E-10
756.6563467,6.44097E-10
756.9659443,6.4357E-10
757.2755418,6.43044E-10
757.5851393,6.42519E-10
757.8947368,6.41994E-10
758.2043344,6.4147E-10
758.5139319,6.40946E-10
758.8235294,6.40423E-10
759.1331269,6.39901E-10
759.4427245,6.39379E-10
759.752322,6.38858E-10
760.0619195,6.38338E-10
760.371517,6.37818E-10
760.6811146,6.37299E-10
760.9907121,6.36781E-10
761.3003096,6.36263E-10
761.6099071,6.35746E-10
761.9195046,6.35229E-10
762.2291022,6.34713E-10
762.5386997,6.34198E-10
762.8482972,6.33683E-10
763.1578947,6.33169E-10
763.4674923,6.32656E-10
763.7770898,6.32143E-10
764.0866873,6.31631E-10
764.3962848,6.31119E-10
764.7058824,6.30609E-10
765.0154799,6.30098E-10
765.3250774,6.29589E-10
765.6346749,6.29079E-10
765.9442724,6.28571E-10
766.25387,6.28063E-10
766.5634675,6.27556E-10
766.873065,6.27049E-10
767.1826625,6.26543E-10
767.4922601,6.26038E-10
767.8018576,6.25533E-10
768.1114551,6.25029E-10
768.4210526,6.24526E-10
768.7306502,6.24023E-10
769.0402477,6.2352E-10
769.3498452,6.23019E-10
769.6594427,6.22517E-10
769.9690402,6.22017E-10
770.2786378,6.21517E-10
770.5882353,6.21018E-10
770.8978328,6.20519E-10
771.2074303,6.20021E-10
771.5170279,6.19523E-10
771.8266254,6.19026E-10
772.1362229,6.1853E-10
772.4458204,6.18034E-10
772.755418,6.17539E-10
773.0650155,6.17045E-10
773.374613,6.16551E-10
773.6842105,6.16057E-10
773.993808,6.15565E-10
774.3034056,6.15073E-10
774.6130031,6.14581E-10
774.9226006,6.1409E-10
775.2321981,6.136E-10
775.5417957,6.1311E-10
775.8513932,6.12621E-10
776.1609907,6.12132E-10
776.4705882,6.11644E-10
776.7801858,6.11156E-10
777.0897833,6.1067E-10
777.3993808,6.10183E-10
777.7089783,6.09698E-10
778.0185759,6.09212E-10
778.3281734,6.08728E-10
778.6377709,6.08244E-10
778.9473684,6.07761E-10
779.2569659,6.07278E-10
779.5665635,6.06795E-10
779.876161,6.06314E-10
780.1857585,6.05833E-10
780.495356,6.05352E-10
780.8049536,6.04872E-10
781.1145511,6.04393E-10
781.4241486,6.03914E-10
781.7337461,6.03436E-10
782.0433437,6.02958E-10
782.3529412,6.02481E-10
782.6625387,6.02004E-10
782.9721362,6.01528E-10
783.2817337,6.01053E-10
783.5913313,6.00578E-10
783.9009288,6.00104E-10
784.2105263,5.9963E-10
784.5201238,5.99157E-10
784.8297214,5.98684E-10
785.1393189,5.98212E-10
785.4489164,5.97741E-10
785.7585139,5.9727E-10
786.0681115,5.96799E-10
786.377709,5.9633E-10
786.6873065,5.9586E-10
786.996904,5.95392E-10
787.3065015,5.94923E-10
787.6160991,5.94456E-10
787.9256966,5.93989E-10
788.2352941,5.93522E-10
788.5448916,5.93056E-10
788.8544892,5.92591E-10
789.1640867,5.92126E-10
789.4736842,5.91662E-10
789.7832817,5.91198E-10
790.0928793,5.90735E-10
790.4024768,5.90272E-10
790.7120743,5.8981E-10
791.0216718,5.89348E-10
791.3312693,5.88887E-10
791.6408669,5.88427E-10
791.9504644,5.87967E-10
792.2600619,5.87507E-10
792.5696594,5.87048E-10
792.879257,5.8659E-10
793.1888545,5.86132E-10
793.498452,5.85675E-10
793.8080495,5.85218E-10
794.1176471,5.84762E-10
794.4272446,5.84306E-10
794.7368421,5.83851E-10
795.0464396,5.83396E-10
795.3560372,5.82942E-10
795.6656347,5.82489E-10
795.9752322,5.82036E-10
796.2848297,5.81583E-10
796.5944272,5.81131E-10
796.9040248,5.8068E-10
797.2136223,5.80229E-10
797.5232198,5.79778E-10
797.8328173,5.79329E-10
798.1424149,5.78879E-10
798.4520124,5.7843E-10
798.7616099,5.77982E-10
799.0712074,5.77534E-10
799.380805,5.77087E-10
799.6904025,5.7664E-10
800,5.76194E-10
800.3095975,5.75748E-10
800.619195,5.75303E-10
800.9287926,5.74858E-10
801.2383901,5.74414E-10
801.5479876,5.73971E-10
801.8575851,5.73527E-10
802.1671827,5.73085E-10
802.4767802,5.72643E-10
802.7863777,5.72201E-10
803.0959752,5.7176E-10
803.4055728,5.71319E-10
803.7151703,5.70879E-10
804.0247678,5.7044E-10
804.3343653,5.70001E-10
804.6439628,5.69562E-10
804.9535604,5.69124E-10
805.2631579,5.68687E-10
805.5727554,5.6825E-10
805.8823529,5.67813E-10
806.1919505,5.67377E-10
806.501548,5.66942E-10
806.8111455,5.66507E-10
807.120743,5.66072E-10
807.4303406,5.65638E-10
807.7399381,5.65204E-10
808.0495356,5.64771E-10
808.3591331,5.64339E-10
808.6687307,5.63907E-10
808.9783282,5.63475E-10
809.2879257,5.63044E-10
809.5975232,5.62614E-10
809.9071207,5.62184E-10
810.2167183,5.61754E-10
810.5263158,5.61325E-10
810.8359133,5.60897E-10
811.1455108,5.60468E-10
811.4551084,5.60041E-10
811.7647059,5.59614E-10
812.0743034,5.59187E-10
812.3839009,5.58761E-10
812.6934985,5.58335E-10
813.003096,5.5791E-10
813.3126935,5.57486E-10
813.622291,5.57061E-10
813.9318885,5.56638E-10
814.2414861,5.56214E-10
814.5510836,5.55792E-10
814.8606811,5.55369E-10
815.1702786,5.54948E-10
815.4798762,5.54526E-10
815.7894737,5.54106E-10
816.0990712,5.53685E-10
816.4086687,5.53265E-10
816.7182663,5.52846E-10
817.0278638,5.52427E-10
817.3374613,5.52009E-10
817.6470588,5.51591E-10
817.9566563,5.51173E-10
818.2662539,5.50756E-10
818.5758514,5.5034E-10
818.8854489,5.49924E-10
819.1950464,5.49508E-10
819.504644,5.49093E-10
819.8142415,5.48678E-10
820.123839,5.48264E-10
820.4334365,5.4785E-10
820.7430341,5.47437E-10
821.0526316,5.47024E-10
821.3622291,5.46612E-10
821.6718266,5.462E-10
821.9814241,5.45789E-10
822.2910217,5.45378E-10
822.6006192,5.44968E-10
822.9102167,5.44558E-10
823.2198142,5.44148E-10
823.5294118,5.43739E-10
823.8390093,5.4333E-10
824.1486068,5.42922E-10
824.4582043,5.42515E-10
824.7678019,5.42107E-10
825.0773994,5.41701E-10
825.3869969,5.41294E-10
825.6965944,5.40888E-10
826.006192,5.40483E-10
826.3157895,5.40078E-10
826.625387,5.39674E-10
826.9349845,5.3927E-10
827.244582,5.38866E-10
827.5541796,5.38463E-10
827.8637771,5.3806E-10
828.1733746,5.37658E-10
828.4829721,5.37256E-10
828.7925697,5.36855E-10
829.1021672,5.36454E-10
829.4117647,5.36054E-10
829.7213622,5.35654E-10
830.0309598,5.35254E-10
830.3405573,5.34855E-10
830.6501548,5.34457E-10
