wavelength,transparent
604.246,0.9805315487713033
604.607,0.9803144771960159
604.967,0.9803144771960159
605.327,0.9800974973444974
605.688,0.9800974973444974
606.048,0.9798806091586285
606.408,0.9798806091586285
606.768,0.9796638125803285
607.128,0.9796638125803285
607.488,0.9794471075515735
607.848,0.9794471075515735
608.208,0.9792304940143857
608.568,0.9792304940143857
608.928,0.9790139719108392
609.288,0.9790139719108392
609.647,0.978797541183052
610.007,0.978797541183052
610.367,0.9785812017731905
610.726,0.9785812017731905
611.086,0.9783649536234781
611.445,0.9783649536234781
611.804,0.9781487966761758
612.164,0.9781487966761758
612.523,0.9779327308736048
612.882,0.9779327308736048
613.242,0.9777167561581235
613.601,0.9777167561581235
613.96,0.9775008724721473
614.319,0.9775008724721473
614.678,0.9775008724721473
615.037,0.9775008724721473
