thermalcut,wavelength[nm],Thermal_cut_L,Thermal_cut_M,Thermal_cut_S,NDfilter,wavelength[nm],absOD1,absOD2,refOD1
,2269.9725,1,-4.31E-05,0.01478342,,2269.9725,0.172956016,0.024937085,0.047970556
,2280.0059,1,-3.69E-05,0.015068317,,2280.0059,0.174558571,0.025482884,0.04812897
,2290.0331,1,-7.20E-05,0.015386154,,2290.0331,0.176154724,0.026069768,0.048279221
,2299.9476,1,-7.42E-05,0.015723705,,2299.9476,0.177912683,0.0266954,0.048342787
,2309.9625,1,-6.93E-05,0.01609625,,2309.9625,0.179871999,0.027385034,0.048388197
,2319.9712,1,-0.000132266,0.016514673,,2319.9712,0.181836285,0.028121849,0.048421064
,2329.9737,1,-0.000112931,0.016965266,,2329.9737,0.183911298,0.028887219,0.048355663
,2339.9699,1,-0.000118833,0.017433922,,2339.9699,0.186141036,0.02971182,0.048269081
,2349.9598,1,-0.000131649,0.017936481,,2349.9598,0.188452034,0.030619292,0.048208965
,2360.0496,1,-0.000112906,0.018467383,,2360.0496,0.190906637,0.031550773,0.048103212
,2370.0267,1,-0.000122178,0.019015754,,2370.0267,0.19343863,0.032517881,0.048004408
,2379.9975,1,-4.83E-05,0.019578458,,2379.9975,0.19568102,0.033507285,0.047855116
,2389.9619,1,-9.15E-06,0.020134294,,2389.9619,0.198051364,0.034544195,0.04776331
,2400.0257,1,5.38E-05,0.02072694,,2400.0257,0.2005805,0.035657343,0.047619965
,2409.9771,1,9.08E-05,0.021322139,,2409.9771,0.203250367,0.036791468,0.047450838
,2420.0278,1,1.25E-05,0.021938879,,2420.0278,0.205849609,0.037959883,0.047266215
,2429.9662,1,-7.59E-05,0.022541655,,2429.9662,0.208244065,0.03914803,0.047085127
,2440.0036,1,-0.000137603,0.023148816,,2440.0036,0.21081691,0.040422655,0.046875208
,2450.0343,1,-0.000141386,0.023761668,,2450.0343,0.213472177,0.041738837,0.046704075
,2459.9528,1,-0.000142502,0.024366599,,2459.9528,0.215739213,0.043062378,0.046512699
,2469.9701,1,-0.000173373,0.024932649,,2469.9701,0.218158516,0.044411528,0.046357463
,2479.9806,1,-0.000134183,0.025432079,,2479.9806,0.220509661,0.045837173,0.04611499
,2489.9843,1,-0.000119268,0.025882408,,2489.9843,0.222375388,0.047152657,0.045896225
,2499.9811,1,-5.86E-05,0.026273744,,2499.9811,0.224240825,0.048547606,0.045626651
,2509.9711,1,-1.01E-05,0.026590976,,2509.9711,0.225943793,0.049942194,0.045360388
,2519.9541,1,0.000115669,0.026853688,,2519.9541,0.227585405,0.051330907,0.045071355
,2530.0352,1,0.000230497,0.027077118,,2530.0352,0.229265537,0.052774816,0.044678924
,2540.0043,1,0.000603913,0.027306727,,2540.0043,0.231091796,0.054455432,0.044464885
,2549.9664,1,0.000969513,0.027461844,,2549.9664,0.232997707,0.056198229,0.044383622
,2560.0263,1,0.001462681,0.027589951,,2560.0263,0.234660433,0.057981534,0.044131957
,2569.9743,1,0.002361969,0.027756332,,2569.9743,0.237172239,0.060231735,0.044157312
,2580.0199,1,0.003531889,0.027899423,,2580.0199,0.238647102,0.061877841,0.043674451
,2589.9536,1,0.006158677,0.027956814,,2589.9536,0.239414783,0.063492162,0.043751798
,2599.9847,1,0.010896878,0.02807357,,2599.9847,0.240055991,0.064748265,0.043330462
,2610.0085,1,0.017007853,0.028200666,,2610.0085,0.239753444,0.06560779,0.043299143
,2620.025,1,0.025805013,0.028203641,,2620.025,0.238350195,0.06632368,0.042652538
,2630.0341,1,0.037522099,0.028168655,,2630.0341,0.236630644,0.066647095,0.042894094
,2640.0358,1,0.045750901,0.028274072,,2640.0358,0.234418407,0.066684228,0.042700554
,2650.0302,1,0.066874986,0.027811544,,2650.0302,0.228139962,0.065774178,0.042588846
,2660.0171,1,0.11846464,0.025963883,,2660.0171,0.2193065,0.062751116,0.04272983
,2669.9965,1,0.253546333,0.02173872,,2669.9965,0.193778335,0.053600264,0.044627458
,2679.9684,1,0.314208673,0.019505308,,2679.9684,0.175607868,0.047088982,0.044768933
,2690.0365,1,0.338196902,0.017468093,,2690.0365,0.165717119,0.042302652,0.042070908
,2699.9933,1,0.410239844,0.014721177,,2699.9933,0.144350281,0.033807833,0.041632785
