wavelength,OD1,OD2,OD3,OD1-sterr,OD2-sterr,OD3-sterr
396.28482972136226,1.4614073992757866e-08,2.8431742037194388e-08,-4.210032278558577e-08,1.0340390341959594e-09,6.317848667401157e-09,-2.7560812324048945e-08
396.59442724458205,1.374451296737245e-08,2.5901567670707803e-08,-3.108809860826967e-08,1.2932394868297678e-09,4.79271343668388e-09,-1.8270541723871096e-08
396.90402476780184,1.4160691157729624e-08,2.7463303562774566e-08,-3.468591648281323e-08,8.875912639444889e-10,6.006640992775715e-09,-2.3494329344564805e-08
397.2136222910217,1.2678284151965264e-08,3.217012194442812e-08,-2.393490442818016e-08,8.029961343315056e-10,6.226887243106423e-09,-1.1486484994772335e-08
397.5232198142415,1.2511580852761454e-08,2.9495624794053843e-08,-3.605028928756097e-08,1.8463504340894391e-10,1.05077778101397e-08,-2.5251267230381505e-08
397.8328173374613,8.197446217020395e-09,2.514668609291354e-08,-2.54004534148543e-08,6.491195401176794e-10,2.402956084803175e-09,-1.4161113625149768e-08
398.14241486068113,1.0568126211284551e-08,2.393562546927408e-08,-3.242230847960117e-08,5.381313230121915e-10,4.7981615333589165e-09,-2.575918777146761e-08
398.4520123839009,9.483163521465994e-09,2.810536133079565e-08,-2.3224183556554773e-08,3.584339984386104e-10,4.5328767958755836e-09,-1.4293570400913546e-08
398.76160990712077,9.596150450785186e-09,2.9698143051381758e-08,-1.9838485673101185e-08,3.291525247304945e-10,4.909518354546415e-09,-1.0503648605809609e-08
399.07120743034056,2.1871381113004578e-08,3.885552207835573e-08,-7.366097769409531e-08,3.5518395291998663e-09,1.9937464895395647e-08,-1.6181567594848712e-07
399.38080495356036,1.483388176062963e-08,2.7521493353431912e-08,-1.0057758485125583e-07,1.7581544351428444e-09,1.0462878257127945e-08,-2.6842042676162124e-07
399.6904024767802,1.3080610216206779e-08,2.406724293042252e-08,-8.40257956172422e-08,1.2539124388050106e-09,7.750108253998654e-09,-2.2182512359260607e-07
400.0,1.396964699170277e-08,2.105245085284771e-08,-7.751896882200163e-08,1.4745543852064852e-09,6.221982129603975e-09,-1.6021999527556737e-07
400.3095975232198,1.2749728410217141e-08,2.0649925560541876e-08,-9.888384428203331e-08,8.749715110335623e-10,6.452361668008897e-09,-2.95734631554334e-07
400.61919504643964,1.2713429376827517e-08,2.0026978031202915e-08,2.922611639143709e-07,1.4670631927719803e-09,6.041835212409661e-09,-2.3775037640780263e-06
400.92879256965944,1.1573744965315116e-08,2.069115246265344e-08,8.677333139046154e-08,8.967227209125818e-10,6.45181499919124e-09,-2.1040356845548236e-07
401.2383900928793,1.2447849734271362e-08,2.1726514812234664e-08,6.688795578116211e-08,9.290795213204925e-10,6.950633060794511e-09,-1.3686790133412222e-07
401.5479876160991,1.1983183620807863e-08,2.0600870378082174e-08,1.1815629714636937e-07,7.411284362169964e-10,6.4669473858519374e-09,-4.383608828832961e-07
401.85758513931887,1.1967405394863191e-08,1.9316801455279064e-08,4.6499777463465874e-08,1.444906053643939e-09,6.112729152687816e-09,-5.7930674216822885e-08
402.1671826625387,1.0983572536716715e-08,1.8096464859442034e-08,4.017648598566836e-08,7.455912292822598e-10,5.533036520789407e-09,-3.474707566443774e-08
402.4767801857585,1.1155348333206006e-08,1.69258746398014e-08,1.5984587167011155e-08,1.0200315345396034e-09,4.8127373410854006e-09,-1.6454443485306027e-08
402.7863777089783,9.935835686516042e-09,1.7100428110376597e-08,-4.142964300795109e-08,8.157003773053632e-10,5.3006204446268676e-09,-6.763583219539675e-08
403.09597523219816,1.0762038652042005e-08,1.6948378962509914e-08,-2.219767051729222e-08,1.048914492581499e-09,4.9349392614588574e-09,-1.8239379207422745e-08
403.40557275541795,1.0303825130098589e-08,1.76420357160688e-08,9.049642248536438e-08,8.320641886402693e-10,5.68038779339741e-09,-3.710867000216632e-07
403.7151702786378,1.0269753977039436e-08,1.732712121302821e-08,-2.6137151192197943e-08,1.0164567824349742e-09,6.031965142776993e-09,-2.48580268455134e-08
404.0247678018576,1.0784596152812597e-08,1.812030565359226e-08,-1.755810881458723e-08,8.618236738901263e-10,6.949033841142811e-09,-1.3214727758005852e-08
404.3343653250774,1.0498706672825712e-08,1.7192124914323523e-08,-1.9075729479175453e-08,1.0114358810317666e-09,6.533365958605666e-09,-1.41832522151646e-08
404.64396284829724,1.0391211989680035e-08,1.7519044078293436e-08,-1.7433101965236445e-08,7.334754630530232e-10,6.758621120456102e-09,-1.3069013650831235e-08
404.953560371517,1.0615438619204126e-08,1.5599789257222667e-08,-2.2337561770932844e-08,1.1920734451474836e-09,5.4029508371247134e-09,-2.3189752822528908e-08
405.2631578947368,1.0234330287162053e-08,1.694970133501889e-08,-2.9743846061715567e-08,1.367136646598182e-09,6.652541649894425e-09,-4.493216571733943e-08
405.57275541795667,1.0887453998686471e-08,1.6230577827590837e-08,-7.60141466036075e-08,1.3577129908104905e-09,6.161743746888309e-09,-2.8733799504040094e-07
405.88235294117646,1.064310553994496e-08,1.4713525488508749e-08,-3.374970118683003e-08,7.626665071374721e-10,5.177153210456618e-09,-5.665128171401639e-08
406.1919504643963,1.0953202784717624e-08,1.5491181380506848e-08,-7.331122066904939e-08,1.3919798236207036e-09,6.07685986958604e-09,-2.785311067947699e-07
406.5015479876161,1.0219243812372184e-08,1.4160731306125928e-08,-3.601182424050847e-08,1.2894672561218025e-09,5.105894037014108e-09,-7.305475343462178e-08
406.8111455108359,9.890234976747907e-09,1.5870474209287165e-08,-5.3421640564938767e-08,1.5003113696530474e-09,6.412480701359635e-09,-1.7314404977624632e-07
407.12074303405575,9.359272203606498e-09,1.44641545169813e-08,-5.3507273784932854e-08,7.498393405645218e-10,5.567738998174198e-09,-1.6006654615320962e-07
