wavelength[nm],transmittance
733.343,0.002687823
733.684,0.002709791
734.025,0.002796548
734.366,0.002705352
734.707,0.002756637
735.048,0.002695567
735.389,0.002744889
735.729,0.002751598
736.07,0.002756146
736.411,0.002694031
736.751,0.002745256
737.092,0.002674291
737.433,0.002725323
737.773,0.002691156
738.113,0.002745373
738.454,0.002747199
738.794,0.002776965
739.134,0.002716631
739.475,0.002727185
739.815,0.00275761
740.155,0.002727231
740.495,0.002740577
740.835,0.002722566
741.175,0.002777569
741.515,0.002706632
741.855,0.002735613
742.194,0.002672419
742.534,0.002726095
742.874,0.002722428
743.214,0.00272117
743.553,0.00274903
743.893,0.002764719
744.232,0.002735341
744.572,0.002774363
744.911,0.00273052
745.25,0.002773054
745.59,0.002797094
745.929,0.002786513
746.268,0.002698502
746.607,0.002771855
746.946,0.00274398
747.285,0.002731297
747.624,0.002779587
747.963,0.002830446
748.302,0.002742722
748.641,0.002740817
748.979,0.002826985
749.318,0.002800087
749.657,0.002731685
749.995,0.002790449
750.334,0.002828179
750.672,0.002759166
751.011,0.002785748
751.349,0.002804733
751.687,0.002791398
752.026,0.002791183
752.364,0.002749019
752.702,0.002786998
753.04,0.00280102
753.378,0.002770275
753.716,0.002755031
754.054,0.00275854
754.392,0.002853415
754.73,0.00278025
755.068,0.002762357
755.406,0.002791645
755.743,0.002829515
756.081,0.002836001
756.418,0.002826942
756.756,0.002788168
757.093,0.00284002
757.431,0.002767046
757.768,0.002806718
758.106,0.002796872
758.443,0.002854686
758.78,0.002795663
759.117,0.002847781
759.454,0.002851803
759.791,0.002842935
760.128,0.002846086
760.465,0.002814808
760.802,0.002843559
761.139,0.002906729
761.476,0.002710378
761.813,0.002815538
762.149,0.002879315
762.486,0.002791065
762.823,0.002810645
763.159,0.002839181
763.496,0.002866459
763.832,0.002898424
764.169,0.002861166
764.505,0.002823168
764.841,0.002870691
765.177,0.002837994
765.514,0.002880578
765.85,0.002870923
766.186,0.002790617
766.522,0.002908848
766.858,0.002838019
767.194,0.002879685
767.529,0.002858968
767.865,0.002868076
768.201,0.002898927
768.537,0.002868156
768.872,0.002845438
769.208,0.002863299
769.543,0.002904863
769.879,0.002877597
770.214,0.002886939
770.55,0.002849263
770.885,0.002845
771.22,0.002912094
771.556,0.002877691
771.891,0.002845222
772.226,0.002887426
772.561,0.002913115
772.896,0.002888719
773.231,0.002877983
773.566,0.002940545
773.901,0.002893364
774.235,0.002861246
774.57,0.002888423
774.905,0.002874642
775.24,0.002855947
775.574,0.002836095
775.909,0.002883715
776.243,0.002940474
776.578,0.002846037
776.912,0.002848525
777.246,0.002880823
777.581,0.002885949
777.915,0.002905914
778.249,0.002883025
778.583,0.002903204
778.917,0.002924526
779.251,0.002931257
779.585,0.00290009
779.919,0.002866574
780.253,0.002890774
780.587,0.002972977
780.921,0.002915155
781.254,0.00286504
781.588,0.002871184
781.921,0.002911578
782.255,0.002923044
782.588,0.002904867
782.922,0.002949763
783.255,0.002955126
783.589,0.002920866
783.922,0.002849253
784.255,0.002918397
784.588,0.002981245
784.921,0.002973323
785.255,0.002946197
785.588,0.002940503
785.92,0.002902503
786.253,0.002969571
786.586,0.002918857
786.919,0.002939012
787.252,0.002945283
787.585,0.002858976
787.917,0.002947167
788.25,0.002872198
788.582,0.002976182
788.915,0.002894403
789.247,0.002891548
789.58,0.002972546
789.912,0.003031979
790.244,0.002955189
790.576,0.003025545
790.909,0.002943412
791.241,0.002885332
791.573,0.002998262
791.905,0.003010496
792.237,0.00299001
792.569,0.002967817
792.901,0.003004291
793.232,0.002987616
793.564,0.003054783
793.896,0.002965442
794.228,0.002992699
794.559,0.003005142
794.891,0.002985381
795.222,0.003010898
795.554,0.003041205
795.885,0.003036026
796.216,0.003057699
796.548,0.002986282
796.879,0.002976108
797.21,0.002993935
797.541,0.003003513
797.872,0.002975541
798.203,0.003039806
798.534,0.003086432
798.865,0.002983597
799.196,0.002973405
799.527,0.003069688
799.858,0.00302085
800.188,0.003040048
800.519,0.003119834
800.849,0.003053298
801.18,0.003049478
801.511,0.003009318
801.841,0.00301881
802.171,0.003033574
802.502,0.003002301
802.832,0.003028986
803.162,0.00303179
803.492,0.003057064
803.823,0.003105998
804.153,0.003015494
804.483,0.00305585
804.813,0.003089912
805.142,0.003045438
805.472,0.003046369
805.802,0.003106336
806.132,0.003111089
806.462,0.003075711
806.791,0.003104162
807.121,0.002978829
